,auroc_in_hotspot,auprc_in_hotspot,auroc_ex_hotspot,auprc_ex_hotspot,auroc_in_pcorr,auprc_in_pcorr,auroc_ex_pcorr,auprc_ex_pcorr,auroc_in_scorr,auprc_in_scorr,auroc_ex_scorr,auprc_ex_scorr,auroc_in_celcomen,auprc_in_celcomen,auroc_ex_celcomen,auprc_ex_celcomen
0,0.625,0.7222222222222222,0.1875,0.6385416666666667,0.29166666666666663,0.5866402116402116,1.0,1.0,0.29166666666666663,0.5866402116402116,1.0,1.0,0.3333333333333333,0.5833333333333334,0.8125,0.9625
1,0.875,0.975,0.6666666666666667,0.8333333333333333,0.125,0.7073412698412699,0.2380952380952381,0.6447278911564626,0.125,0.7073412698412699,0.380952380952381,0.6841836734693877,0.125,0.69375,0.19047619047619047,0.6275510204081632
2,0.5833333333333333,0.7416666666666666,0.40476190476190477,0.6880952380952381,0.5833333333333334,0.6843253968253968,0.5952380952380952,0.7980725623582767,0.5833333333333334,0.6843253968253968,0.5952380952380952,0.7980725623582767,0.3333333333333333,0.5833333333333334,0.45238095238095244,0.7581632653061224
3,0.6666666666666667,0.8333333333333333,0.5833333333333333,0.6986111111111111,0.2380952380952381,0.6447278911564626,0.5,0.6545634920634921,0.2380952380952381,0.6447278911564626,0.5,0.6545634920634921,0.30952380952380953,0.6428571428571428,0.41666666666666663,0.6261904761904762
4,0.46875,0.7916666666666666,0.5555555555555556,0.9407407407407409,0.34375,0.7969246031746031,1.0,1.0,0.28125,0.7792162698412699,0.8888888888888888,0.9882716049382716,0.46875,0.825,0.4444444444444444,0.921957671957672
5,0.875,0.975,0.40476190476190477,0.6880952380952381,0.125,0.7073412698412699,0.45238095238095244,0.7539965986394558,0.125,0.7073412698412699,0.5,0.7742346938775511,0.125,0.69375,0.6428571428571429,0.8214285714285714
6,0.2619047619047619,0.5452380952380952,0.7083333333333333,0.8402777777777777,0.5952380952380953,0.8045918367346939,0.41666666666666663,0.6216269841269841,0.5476190476190477,0.7922619047619048,0.41666666666666663,0.6216269841269841,0.5476190476190477,0.7892857142857143,0.3333333333333333,0.5833333333333334
7,0.35416666666666663,0.5861111111111111,0.8333333333333333,0.9833333333333336,0.7291666666666666,0.8037698412698413,0.16666666666666666,0.8560405643738977,0.6875,0.7893849206349206,0.16666666666666666,0.8560405643738977,0.6875,0.8,0.16666666666666666,0.8537037037037037
8,0.52,0.5933333333333333,0.5476190476190477,0.8119047619047617,0.6799999999999999,0.6747619047619048,0.45238095238095244,0.7610544217687074,0.56,0.6226984126984128,0.5952380952380953,0.8045918367346939,0.43999999999999995,0.5700000000000001,0.5476190476190477,0.7865646258503401
9,0.0,0.47142857142857136,0.5,0.8666666666666667,0.8095238095238095,0.9326530612244898,0.75,0.9262400793650793,0.7142857142857143,0.8903061224489797,0.8125,0.949156746031746,0.7857142857142857,0.9357142857142857,0.6875,0.9148809523809524
