,auroc_in_hotspot,auprc_in_hotspot,auroc_ex_hotspot,auprc_ex_hotspot,auroc_in_pcorr,auprc_in_pcorr,auroc_ex_pcorr,auprc_ex_pcorr,auroc_in_scorr,auprc_in_scorr,auroc_ex_scorr,auprc_ex_scorr,auroc_in_celcomen,auprc_in_celcomen,auroc_ex_celcomen,auprc_ex_celcomen,gen_func,adj_func,ex_in_same
0,0.4385964912280702,0.6458945923408195,0.4385964912280702,0.6458945923408195,0.5058479532163742,0.7157244714484087,0.5058479532163742,0.7157244714484087,0.5760233918128654,0.7408061968701996,0.5760233918128654,0.7408061968701996,0.5233918128654972,0.7114045081040273,0.4795321637426901,0.6934573905192772,gen_binary_any,adj_negispos,same_true
1,0.6813858695652174,0.7421319254162331,0.6813858695652174,0.7421319254162331,0.4273097826086956,0.5430897481287196,0.4273097826086956,0.5430897481287196,0.39877717391304346,0.5312395861500753,0.39877717391304346,0.5312395861500753,0.37907608695652173,0.515069568645725,0.3423913043478261,0.506583582490348,gen_binary_any,adj_negispos,same_true
2,0.6634615384615384,0.7722042087648017,0.6634615384615384,0.7722042087648017,0.3878205128205129,0.6471050228800908,0.3878205128205129,0.6471050228800908,0.3669871794871795,0.6429166484887845,0.3669871794871795,0.6429166484887845,0.3349358974358974,0.6207823728623194,0.40224358974358976,0.6524795433456986,gen_binary_any,adj_negispos,same_true
3,0.53003003003003,0.6697897712330618,0.53003003003003,0.6697897712330618,0.5345345345345346,0.7021752247160081,0.5345345345345346,0.7021752247160081,0.46546546546546547,0.6783068183371922,0.46546546546546547,0.6783068183371922,0.539039039039039,0.7147800332227912,0.493993993993994,0.6973248859587556,gen_binary_any,adj_negispos,same_true
4,0.5811403508771931,0.7335722082978287,0.5811403508771931,0.7335722082978287,0.4261695906432749,0.6326355668441468,0.4261695906432749,0.6326355668441468,0.4671052631578948,0.6485953582423671,0.4671052631578948,0.6485953582423671,0.4685672514619883,0.6475608881858882,0.4685672514619883,0.6439023280717565,gen_binary_any,adj_negispos,same_true
0,0.4356725146198831,0.638724322734882,0.40690690690690695,0.6077872565051323,0.5730994152046784,0.7457881146863167,0.5555555555555556,0.7509382663993764,0.5467836257309941,0.7392926524405126,0.5345345345345346,0.7464472216213648,0.567251461988304,0.7475715429985296,0.5165165165165166,0.7353247697640084,gen_binary_any,adj_negispos,same_false
1,0.5822010869565217,0.6519703492243611,0.47597597597597596,0.7116218440619806,0.38383152173913043,0.5197143834442676,0.5780780780780781,0.7568921123374281,0.36752717391304346,0.5135016563335492,0.6006006006006006,0.7640410030524216,0.4164402173913044,0.5047348484848485,0.5833333333333335,0.761677468169259,gen_binary_any,adj_negispos,same_false
2,0.5833333333333333,0.7119466363941294,0.561698717948718,0.7881494393239385,0.3285256410256411,0.6303053053469935,0.5104166666666666,0.748510473781335,0.33333333333333337,0.6312310049946473,0.5008012820512819,0.7460714151672787,0.4014423076923077,0.6524212283013955,0.46875,0.7128235785980287,gen_binary_any,adj_negispos,same_false
3,0.539039039039039,0.6806191549760627,0.4714714714714715,0.6935946849731296,0.5195195195195195,0.6971627029310851,0.5840840840840841,0.7631208085902864,0.5075075075075075,0.6939884093896288,0.602102102102102,0.7676158146837802,0.46546546546546547,0.6696886446886449,0.6073573573573574,0.7730754543857895,gen_binary_any,adj_negispos,same_false
4,0.5255847953216375,0.721254795085108,0.5383275261324042,0.7914046847471434,0.4597953216374269,0.6554750179610047,0.44076655052264807,0.7579377154886887,0.48318713450292405,0.6614887657722192,0.45818815331010454,0.7652695277803304,0.5233918128654972,0.6838220017044835,0.490418118466899,0.7743393218143896,gen_binary_any,adj_negispos,same_false
