,auroc_in_hotspot,auprc_in_hotspot,auroc_ex_hotspot,auprc_ex_hotspot,auroc_in_pcorr,auprc_in_pcorr,auroc_ex_pcorr,auprc_ex_pcorr,auroc_in_scorr,auprc_in_scorr,auroc_ex_scorr,auprc_ex_scorr,auroc_in_celcomen,auprc_in_celcomen,auroc_ex_celcomen,auprc_ex_celcomen,gen_func,adj_func,ex_in_same
2,0.5833333333333333,0.6833333333333333,0.5833333333333333,0.6833333333333333,0.5416666666666667,0.575,0.5416666666666667,0.575,0.5,0.5583333333333333,0.5,0.5583333333333333,0.5416666666666667,0.575,0.5416666666666667,0.575,gen_binary_selfextra,adj_negiszero,same_true
3,0.46875,0.175,0.46875,0.175,0.53125,0.4125,0.53125,0.4125,0.5,0.4041666666666667,0.5,0.4041666666666667,0.5625,0.425,0.71875,0.475,gen_binary_selfextra,adj_negiszero,same_true
4,0.6875,0.4979166666666666,0.6875,0.4979166666666666,0.375,0.4,0.375,0.4,0.375,0.4,0.375,0.4,0.375,0.4,0.3125,0.38125000000000003,gen_binary_selfextra,adj_negiszero,same_true
0,0.59375,0.5916666666666667,0.35714285714285715,0.22777777777777777,0.53125,0.4125,0.5476190476190476,0.43333333333333335,0.53125,0.4125,0.5476190476190476,0.43333333333333335,0.5625,0.425,0.47619047619047616,0.4027777777777778,gen_binary_selfextra,adj_negiszero,same_false
1,,0.5,0.7291666666666666,0.75,,0.5,0.375,0.4,,0.5,0.375,0.4,,0.5,0.3125,0.38125000000000003,gen_binary_selfextra,adj_negiszero,same_false
2,0.5833333333333333,0.6833333333333333,0.5,0.5375,0.5833333333333334,0.6,0.5833333333333334,0.6,0.5416666666666667,0.575,0.6666666666666667,0.6375,0.5416666666666667,0.575,0.5416666666666667,0.575,gen_binary_selfextra,adj_negiszero,same_false
3,0.40625,0.15416666666666667,0.9523809523809523,0.9027777777777777,0.53125,0.4125,0.14285714285714285,0.15,0.53125,0.4125,0.14285714285714285,0.15,0.5625,0.425,0.2857142857142857,0.2,gen_binary_selfextra,adj_negiszero,same_false
4,0.6041666666666667,0.5791666666666666,0.52,0.5933333333333333,0.4375,0.4375,0.56,0.6300000000000001,0.4375,0.4375,0.56,0.6300000000000001,0.375,0.4,0.5,0.6000000000000001,gen_binary_selfextra,adj_negiszero,same_false
0,0.6666666666666666,0.7916666666666666,0.6666666666666666,0.7916666666666666,0.41666666666666663,0.6269510582010582,0.41666666666666663,0.6269510582010582,0.41666666666666663,0.6269510582010582,0.41666666666666663,0.6269510582010582,0.41666666666666663,0.6166666666666667,0.3333333333333333,0.5833333333333334,gen_dense_any,adj_negispos,same_true
1,0.875,0.975,0.875,0.975,0.125,0.7073412698412699,0.125,0.7073412698412699,0.125,0.7073412698412699,0.125,0.7073412698412699,0.125,0.69375,0.125,0.7020833333333334,gen_dense_any,adj_negispos,same_true
2,0.5833333333333333,0.5972222222222222,0.5833333333333333,0.5972222222222222,0.41666666666666663,0.6216269841269841,0.41666666666666663,0.6216269841269841,0.41666666666666663,0.6216269841269841,0.41666666666666663,0.6216269841269841,0.41666666666666663,0.6166666666666667,0.4583333333333333,0.6416666666666666,gen_dense_any,adj_negispos,same_true
