,auroc_in_hotspot,auprc_in_hotspot,auroc_ex_hotspot,auprc_ex_hotspot,auroc_in_pcorr,auprc_in_pcorr,auroc_ex_pcorr,auprc_ex_pcorr,auroc_in_scorr,auprc_in_scorr,auroc_ex_scorr,auprc_ex_scorr,auroc_in_celcomen,auprc_in_celcomen,auroc_ex_celcomen,auprc_ex_celcomen,gen_func,adj_func,ex_in_same
2,0.5833333333333333,0.6833333333333333,0.5833333333333333,0.6833333333333333,0.5833333333333334,0.6,0.5833333333333334,0.6,0.5833333333333334,0.6,0.5833333333333334,0.6,0.5416666666666667,0.575,0.5416666666666667,0.5738095238095238,gen_binary_any,adj_negiszero,same_true
3,0.40625,0.15416666666666667,0.40625,0.15416666666666667,0.53125,0.4125,0.53125,0.4125,0.5625,0.425,0.5625,0.425,0.53125,0.4125,0.71875,0.475,gen_binary_any,adj_negiszero,same_true
4,0.6875,0.725,0.6875,0.725,0.3125,0.38125000000000003,0.3125,0.38125000000000003,0.3125,0.38125000000000003,0.3125,0.38125000000000003,0.375,0.4,0.25,0.36875,gen_binary_any,adj_negiszero,same_true
0,0.59375,0.5916666666666667,0.5952380952380952,0.3277777777777778,0.46875,0.39821428571428574,0.5952380952380952,0.44365079365079363,0.53125,0.4125,0.5476190476190476,0.43333333333333335,0.5,0.4041666666666667,0.4285714285714286,0.3888888888888889,gen_binary_any,adj_negiszero,same_false
1,,0.5,0.6875,0.725,,0.5,0.3125,0.38125000000000003,,0.5,0.3125,0.38125000000000003,,0.5,0.39583333333333337,0.4217261904761905,gen_binary_any,adj_negiszero,same_false
2,0.5416666666666667,0.5791666666666666,0.5,0.5375,0.5833333333333334,0.6,0.5833333333333334,0.6,0.5833333333333334,0.6,0.5833333333333334,0.6,0.5416666666666667,0.575,0.5833333333333333,0.5910714285714286,gen_binary_any,adj_negiszero,same_false
3,0.34375,0.14166666666666666,0.9047619047619047,0.8500000000000001,0.5,0.4041666666666667,0.07142857142857145,0.15,0.53125,0.4125,0.14285714285714285,0.15,0.5625,0.425,0.23809523809523808,0.1888888888888889,gen_binary_any,adj_negiszero,same_false
4,0.6041666666666667,0.5791666666666666,0.52,0.5933333333333333,0.375,0.4,0.5,0.6000000000000001,0.4375,0.4375,0.56,0.6300000000000001,0.375,0.4,0.5,0.6000000000000001,gen_binary_any,adj_negiszero,same_false
0,0.5,0.7309523809523808,0.5,0.7309523809523808,0.5,0.7742346938775511,0.5,0.7742346938775511,0.5476190476190477,0.7922619047619048,0.5476190476190477,0.7922619047619048,0.47619047619047616,0.7583333333333333,0.45238095238095244,0.7604591836734693,gen_binary_selfzero,adj_negispos,same_true
1,0.8,0.6266666666666667,0.8,0.6266666666666667,0.0,0.30436507936507934,0.0,0.30436507936507934,0.0,0.30436507936507934,0.0,0.30436507936507934,0.11999999999999997,0.3,0.15999999999999998,0.3352380952380952,gen_binary_selfzero,adj_negispos,same_true
2,0.4523809523809524,0.7476190476190476,0.4523809523809524,0.7476190476190476,0.6428571428571429,0.8207482993197279,0.6428571428571429,0.8207482993197279,0.6904761904761905,0.8322562358276644,0.6904761904761905,0.8322562358276644,0.5952380952380952,0.8071428571428572,0.5476190476190477,0.7863945578231293,gen_binary_selfzero,adj_negispos,same_true
3,0.5833333333333333,0.5972222222222222,0.5833333333333333,0.5972222222222222,0.29166666666666663,0.5866402116402116,0.29166666666666663,0.5866402116402116,0.3333333333333333,0.5985449735449735,0.3333333333333333,0.5985449735449735,0.3333333333333333,0.5833333333333334,0.4375,0.6327380952380952,gen_binary_selfzero,adj_negispos,same_true
4,0.5,0.7702380952380952,0.5,0.7702380952380952,0.5,0.7742346938775511,0.5,0.7742346938775511,0.5476190476190477,0.7865646258503401,0.5476190476190477,0.7865646258503401,0.5476190476190477,0.7892857142857143,0.5238095238095237,0.7785714285714286,gen_binary_selfzero,adj_negispos,same_true
0,0.40476190476190477,0.6880952380952381,0.64,0.7416666666666667,0.6904761904761905,0.8322562358276644,0.48,0.5973015873015873,0.5476190476190477,0.7865646258503401,0.6000000000000001,0.6422222222222222,0.47619047619047616,0.7583333333333333,0.4,0.5650000000000001,gen_binary_selfzero,adj_negispos,same_false
1,1.0,1.0,0.3125,0.784375,0.11999999999999997,0.32591269841269843,0.875,0.9685019841269842,0.11999999999999997,0.32591269841269843,0.875,0.9685019841269842,0.11999999999999997,0.3,0.6875,0.9148809523809524,gen_binary_selfzero,adj_negispos,same_false
2,0.40476190476190477,0.6880952380952381,0.53125,0.84375,0.45238095238095244,0.7610544217687074,0.53125,0.839608134920635,0.6428571428571429,0.8207482993197279,0.34375,0.7969246031746031,0.5952380952380952,0.8071428571428572,0.40625,0.8110119047619047,gen_binary_selfzero,adj_negispos,same_false
3,0.5833333333333333,0.7416666666666666,0.7142857142857144,0.875,0.45833333333333337,0.6432208994708994,0.380952380952381,0.6841836734693877,0.45833333333333337,0.6432208994708994,0.380952380952381,0.6841836734693877,0.41666666666666663,0.6166666666666667,0.35714285714285715,0.6761904761904761,gen_binary_selfzero,adj_negispos,same_false
4,0.35714285714285715,0.6642857142857141,0.46875,0.7916666666666666,0.45238095238095244,0.7539965986394558,0.46875,0.8268353174603174,0.45238095238095244,0.7539965986394558,0.46875,0.8268353174603174,0.5476190476190477,0.7892857142857143,0.4375,0.8125,gen_binary_selfzero,adj_negispos,same_false
0,0.59375,0.5916666666666667,0.59375,0.5916666666666667,0.53125,0.4125,0.53125,0.4125,0.5,0.4041666666666667,0.5,0.4041666666666667,0.5,0.4041666666666667,0.4375,0.39375,gen_binary_selfzero,adj_negiszero,same_true
1,,0.5,,0.5,,0.5,,0.5,,0.5,,0.5,,0.5,,0.5,gen_binary_selfzero,adj_negiszero,same_true
2,0.5833333333333333,0.6833333333333333,0.5833333333333333,0.6833333333333333,0.5833333333333334,0.6,0.5833333333333334,0.6,0.5833333333333334,0.6,0.5833333333333334,0.6,0.5416666666666667,0.575,0.5416666666666667,0.5738095238095238,gen_binary_selfzero,adj_negiszero,same_true
3,0.40625,0.15416666666666667,0.40625,0.15416666666666667,0.53125,0.4125,0.53125,0.4125,0.5625,0.425,0.5625,0.425,0.53125,0.4125,0.71875,0.475,gen_binary_selfzero,adj_negiszero,same_true
4,0.6875,0.725,0.6875,0.725,0.3125,0.38125000000000003,0.3125,0.38125000000000003,0.3125,0.38125000000000003,0.3125,0.38125000000000003,0.375,0.4,0.25,0.36875,gen_binary_selfzero,adj_negiszero,same_true
0,0.59375,0.5916666666666667,0.5952380952380952,0.3277777777777778,0.46875,0.39821428571428574,0.5952380952380952,0.44365079365079363,0.53125,0.4125,0.5476190476190476,0.43333333333333335,0.5,0.4041666666666667,0.4285714285714286,0.3888888888888889,gen_binary_selfzero,adj_negiszero,same_false
1,,0.5,0.6875,0.725,,0.5,0.3125,0.38125000000000003,,0.5,0.3125,0.38125000000000003,,0.5,0.39583333333333337,0.4217261904761905,gen_binary_selfzero,adj_negiszero,same_false
2,0.5416666666666667,0.5791666666666666,0.5,0.5375,0.5833333333333334,0.6,0.5833333333333334,0.6,0.5833333333333334,0.6,0.5833333333333334,0.6,0.5416666666666667,0.575,0.5833333333333333,0.5910714285714286,gen_binary_selfzero,adj_negiszero,same_false
3,0.34375,0.14166666666666666,0.9047619047619047,0.8500000000000001,0.5,0.4041666666666667,0.07142857142857145,0.15,0.53125,0.4125,0.14285714285714285,0.15,0.5625,0.425,0.23809523809523808,0.1888888888888889,gen_binary_selfzero,adj_negiszero,same_false
4,0.6041666666666667,0.5791666666666666,0.52,0.5933333333333333,0.375,0.4,0.5,0.6000000000000001,0.4375,0.4375,0.56,0.6300000000000001,0.375,0.4,0.5,0.6000000000000001,gen_binary_selfzero,adj_negiszero,same_false
0,0.5,0.7309523809523808,0.5,0.7309523809523808,0.5,0.7742346938775511,0.5,0.7742346938775511,0.5476190476190477,0.7922619047619048,0.5476190476190477,0.7922619047619048,0.47619047619047616,0.7583333333333333,0.45238095238095244,0.7604591836734693,gen_binary_selfone,adj_negispos,same_true
1,0.8,0.6266666666666667,0.8,0.6266666666666667,0.0,0.30436507936507934,0.0,0.30436507936507934,0.0,0.30436507936507934,0.0,0.30436507936507934,0.11999999999999997,0.3,0.15999999999999998,0.3352380952380952,gen_binary_selfone,adj_negispos,same_true
2,0.4523809523809524,0.7476190476190476,0.4523809523809524,0.7476190476190476,0.6428571428571429,0.8207482993197279,0.6428571428571429,0.8207482993197279,0.6904761904761905,0.8322562358276644,0.6904761904761905,0.8322562358276644,0.5952380952380952,0.8071428571428572,0.5476190476190477,0.7863945578231293,gen_binary_selfone,adj_negispos,same_true
3,0.5833333333333333,0.5972222222222222,0.5833333333333333,0.5972222222222222,0.29166666666666663,0.5866402116402116,0.29166666666666663,0.5866402116402116,0.3333333333333333,0.5985449735449735,0.3333333333333333,0.5985449735449735,0.3333333333333333,0.5833333333333334,0.4375,0.6327380952380952,gen_binary_selfone,adj_negispos,same_true
4,0.5,0.7702380952380952,0.5,0.7702380952380952,0.5,0.7742346938775511,0.5,0.7742346938775511,0.5476190476190477,0.7865646258503401,0.5476190476190477,0.7865646258503401,0.5476190476190477,0.7892857142857143,0.5238095238095237,0.7785714285714286,gen_binary_selfone,adj_negispos,same_true
0,0.40476190476190477,0.6880952380952381,0.64,0.7416666666666667,0.6904761904761905,0.8322562358276644,0.48,0.5973015873015873,0.5476190476190477,0.7865646258503401,0.6000000000000001,0.6422222222222222,0.47619047619047616,0.7583333333333333,0.4,0.5650000000000001,gen_binary_selfone,adj_negispos,same_false
1,1.0,1.0,0.3125,0.784375,0.11999999999999997,0.32591269841269843,0.875,0.9685019841269842,0.11999999999999997,0.32591269841269843,0.875,0.9685019841269842,0.11999999999999997,0.3,0.6875,0.9148809523809524,gen_binary_selfone,adj_negispos,same_false
2,0.40476190476190477,0.6880952380952381,0.53125,0.84375,0.45238095238095244,0.7610544217687074,0.53125,0.839608134920635,0.6428571428571429,0.8207482993197279,0.34375,0.7969246031746031,0.5952380952380952,0.8071428571428572,0.40625,0.8110119047619047,gen_binary_selfone,adj_negispos,same_false
3,0.5833333333333333,0.7416666666666666,0.7142857142857144,0.875,0.45833333333333337,0.6432208994708994,0.380952380952381,0.6841836734693877,0.45833333333333337,0.6432208994708994,0.380952380952381,0.6841836734693877,0.41666666666666663,0.6166666666666667,0.35714285714285715,0.6761904761904761,gen_binary_selfone,adj_negispos,same_false
4,0.35714285714285715,0.6642857142857141,0.46875,0.7916666666666666,0.45238095238095244,0.7539965986394558,0.46875,0.8268353174603174,0.45238095238095244,0.7539965986394558,0.46875,0.8268353174603174,0.5476190476190477,0.7892857142857143,0.4375,0.8125,gen_binary_selfone,adj_negispos,same_false
0,0.59375,0.5916666666666667,0.59375,0.5916666666666667,0.53125,0.4125,0.53125,0.4125,0.5,0.4041666666666667,0.5,0.4041666666666667,0.5,0.4041666666666667,0.4375,0.39375,gen_binary_selfone,adj_negiszero,same_true
1,,0.5,,0.5,,0.5,,0.5,,0.5,,0.5,,0.5,,0.5,gen_binary_selfone,adj_negiszero,same_true
2,0.5833333333333333,0.6833333333333333,0.5833333333333333,0.6833333333333333,0.5833333333333334,0.6,0.5833333333333334,0.6,0.5833333333333334,0.6,0.5833333333333334,0.6,0.5416666666666667,0.575,0.5416666666666667,0.5738095238095238,gen_binary_selfone,adj_negiszero,same_true
3,0.40625,0.15416666666666667,0.40625,0.15416666666666667,0.53125,0.4125,0.53125,0.4125,0.5625,0.425,0.5625,0.425,0.53125,0.4125,0.71875,0.475,gen_binary_selfone,adj_negiszero,same_true
4,0.6875,0.725,0.6875,0.725,0.3125,0.38125000000000003,0.3125,0.38125000000000003,0.3125,0.38125000000000003,0.3125,0.38125000000000003,0.375,0.4,0.25,0.36875,gen_binary_selfone,adj_negiszero,same_true
0,0.59375,0.5916666666666667,0.5952380952380952,0.3277777777777778,0.46875,0.39821428571428574,0.5952380952380952,0.44365079365079363,0.53125,0.4125,0.5476190476190476,0.43333333333333335,0.5,0.4041666666666667,0.4285714285714286,0.3888888888888889,gen_binary_selfone,adj_negiszero,same_false
1,,0.5,0.6875,0.725,,0.5,0.3125,0.38125000000000003,,0.5,0.3125,0.38125000000000003,,0.5,0.39583333333333337,0.4217261904761905,gen_binary_selfone,adj_negiszero,same_false
2,0.5416666666666667,0.5791666666666666,0.5,0.5375,0.5833333333333334,0.6,0.5833333333333334,0.6,0.5833333333333334,0.6,0.5833333333333334,0.6,0.5416666666666667,0.575,0.5833333333333333,0.5910714285714286,gen_binary_selfone,adj_negiszero,same_false
3,0.34375,0.14166666666666666,0.9047619047619047,0.8500000000000001,0.5,0.4041666666666667,0.07142857142857145,0.15,0.53125,0.4125,0.14285714285714285,0.15,0.5625,0.425,0.23809523809523808,0.1888888888888889,gen_binary_selfone,adj_negiszero,same_false
4,0.6041666666666667,0.5791666666666666,0.52,0.5933333333333333,0.375,0.4,0.5,0.6000000000000001,0.4375,0.4375,0.56,0.6300000000000001,0.375,0.4,0.5,0.6000000000000001,gen_binary_selfone,adj_negiszero,same_false
0,0.5,0.7309523809523808,0.5,0.7309523809523808,0.5,0.7742346938775511,0.5,0.7742346938775511,0.5476190476190477,0.7922619047619048,0.5476190476190477,0.7922619047619048,0.47619047619047616,0.7583333333333333,0.45238095238095244,0.7604591836734693,gen_binary_selfextra,adj_negispos,same_true
1,0.8,0.6266666666666667,0.8,0.6266666666666667,0.0,0.30436507936507934,0.0,0.30436507936507934,0.0,0.30436507936507934,0.0,0.30436507936507934,0.11999999999999997,0.3,0.15999999999999998,0.3352380952380952,gen_binary_selfextra,adj_negispos,same_true
2,0.4523809523809524,0.7476190476190476,0.4523809523809524,0.7476190476190476,0.6428571428571429,0.8207482993197279,0.6428571428571429,0.8207482993197279,0.6904761904761905,0.8322562358276644,0.6904761904761905,0.8322562358276644,0.5952380952380952,0.8071428571428572,0.5476190476190477,0.7863945578231293,gen_binary_selfextra,adj_negispos,same_true
3,0.5833333333333333,0.5972222222222222,0.5833333333333333,0.5972222222222222,0.29166666666666663,0.5866402116402116,0.29166666666666663,0.5866402116402116,0.3333333333333333,0.5985449735449735,0.3333333333333333,0.5985449735449735,0.3333333333333333,0.5833333333333334,0.4375,0.6327380952380952,gen_binary_selfextra,adj_negispos,same_true
4,0.5,0.7702380952380952,0.5,0.7702380952380952,0.5,0.7742346938775511,0.5,0.7742346938775511,0.5476190476190477,0.7865646258503401,0.5476190476190477,0.7865646258503401,0.5476190476190477,0.7892857142857143,0.5238095238095237,0.7785714285714286,gen_binary_selfextra,adj_negispos,same_true
0,0.40476190476190477,0.6880952380952381,0.64,0.7416666666666667,0.6904761904761905,0.8322562358276644,0.48,0.5973015873015873,0.5476190476190477,0.7865646258503401,0.6000000000000001,0.6422222222222222,0.47619047619047616,0.7583333333333333,0.4,0.5650000000000001,gen_binary_selfextra,adj_negispos,same_false
1,1.0,1.0,0.3125,0.784375,0.11999999999999997,0.32591269841269843,0.875,0.9685019841269842,0.11999999999999997,0.32591269841269843,0.875,0.9685019841269842,0.11999999999999997,0.3,0.6875,0.9148809523809524,gen_binary_selfextra,adj_negispos,same_false
2,0.40476190476190477,0.6880952380952381,0.53125,0.84375,0.45238095238095244,0.7610544217687074,0.53125,0.839608134920635,0.6428571428571429,0.8207482993197279,0.34375,0.7969246031746031,0.5952380952380952,0.8071428571428572,0.40625,0.8110119047619047,gen_binary_selfextra,adj_negispos,same_false
3,0.5833333333333333,0.7416666666666666,0.7142857142857144,0.875,0.45833333333333337,0.6432208994708994,0.380952380952381,0.6841836734693877,0.45833333333333337,0.6432208994708994,0.380952380952381,0.6841836734693877,0.41666666666666663,0.6166666666666667,0.35714285714285715,0.6761904761904761,gen_binary_selfextra,adj_negispos,same_false
4,0.35714285714285715,0.6642857142857141,0.46875,0.7916666666666666,0.45238095238095244,0.7539965986394558,0.46875,0.8268353174603174,0.45238095238095244,0.7539965986394558,0.46875,0.8268353174603174,0.5476190476190477,0.7892857142857143,0.4375,0.8125,gen_binary_selfextra,adj_negispos,same_false
0,0.59375,0.5916666666666667,0.59375,0.5916666666666667,0.53125,0.4125,0.53125,0.4125,0.5,0.4041666666666667,0.5,0.4041666666666667,0.5,0.4041666666666667,0.4375,0.39375,gen_binary_selfextra,adj_negiszero,same_true
1,,0.5,,0.5,,0.5,,0.5,,0.5,,0.5,,0.5,,0.5,gen_binary_selfextra,adj_negiszero,same_true
2,0.5833333333333333,0.6833333333333333,0.5833333333333333,0.6833333333333333,0.5833333333333334,0.6,0.5833333333333334,0.6,0.5833333333333334,0.6,0.5833333333333334,0.6,0.5416666666666667,0.575,0.5416666666666667,0.5738095238095238,gen_binary_selfextra,adj_negiszero,same_true
3,0.40625,0.15416666666666667,0.40625,0.15416666666666667,0.53125,0.4125,0.53125,0.4125,0.5625,0.425,0.5625,0.425,0.53125,0.4125,0.71875,0.475,gen_binary_selfextra,adj_negiszero,same_true
4,0.6875,0.725,0.6875,0.725,0.3125,0.38125000000000003,0.3125,0.38125000000000003,0.3125,0.38125000000000003,0.3125,0.38125000000000003,0.375,0.4,0.25,0.36875,gen_binary_selfextra,adj_negiszero,same_true
0,0.59375,0.5916666666666667,0.5952380952380952,0.3277777777777778,0.46875,0.39821428571428574,0.5952380952380952,0.44365079365079363,0.53125,0.4125,0.5476190476190476,0.43333333333333335,0.5,0.4041666666666667,0.4285714285714286,0.3888888888888889,gen_binary_selfextra,adj_negiszero,same_false
1,,0.5,0.6875,0.725,,0.5,0.3125,0.38125000000000003,,0.5,0.3125,0.38125000000000003,,0.5,0.39583333333333337,0.4217261904761905,gen_binary_selfextra,adj_negiszero,same_false
2,0.5416666666666667,0.5791666666666666,0.5,0.5375,0.5833333333333334,0.6,0.5833333333333334,0.6,0.5833333333333334,0.6,0.5833333333333334,0.6,0.5416666666666667,0.575,0.5833333333333333,0.5910714285714286,gen_binary_selfextra,adj_negiszero,same_false
3,0.34375,0.14166666666666666,0.9047619047619047,0.8500000000000001,0.5,0.4041666666666667,0.07142857142857145,0.15,0.53125,0.4125,0.14285714285714285,0.15,0.5625,0.425,0.23809523809523808,0.1888888888888889,gen_binary_selfextra,adj_negiszero,same_false
4,0.6041666666666667,0.5791666666666666,0.52,0.5933333333333333,0.375,0.4,0.5,0.6000000000000001,0.4375,0.4375,0.56,0.6300000000000001,0.375,0.4,0.5,0.6000000000000001,gen_binary_selfextra,adj_negiszero,same_false
0,0.6666666666666666,0.7916666666666666,0.6666666666666666,0.7916666666666666,0.45833333333333337,0.6432208994708994,0.45833333333333337,0.6432208994708994,0.41666666666666663,0.6269510582010582,0.41666666666666663,0.6269510582010582,0.41666666666666663,0.6166666666666667,0.375,0.6142857142857143,gen_dense_any,adj_negispos,same_true
1,0.875,0.975,0.875,0.975,0.125,0.7073412698412699,0.125,0.7073412698412699,0.125,0.7073412698412699,0.125,0.7073412698412699,0.125,0.69375,0.125,0.705654761904762,gen_dense_any,adj_negispos,same_true
2,0.5416666666666666,0.5736111111111111,0.5416666666666666,0.5736111111111111,0.29166666666666663,0.5866402116402116,0.29166666666666663,0.5866402116402116,0.29166666666666663,0.5866402116402116,0.29166666666666663,0.5866402116402116,0.4583333333333333,0.6416666666666666,0.41666666666666663,0.6261904761904762,gen_dense_any,adj_negispos,same_true
3,0.8095238095238095,0.9333333333333331,0.8095238095238095,0.9333333333333331,0.4285714285714286,0.6956916099773243,0.4285714285714286,0.6956916099773243,0.380952380952381,0.6841836734693877,0.380952380952381,0.6841836734693877,0.19047619047619047,0.6071428571428572,0.19047619047619047,0.6214285714285713,gen_dense_any,adj_negispos,same_true
4,0.46875,0.7916666666666666,0.46875,0.7916666666666666,0.34375,0.7969246031746031,0.34375,0.7969246031746031,0.34375,0.7969246031746031,0.34375,0.7969246031746031,0.4375,0.8125,0.5,0.8333333333333334,gen_dense_any,adj_negispos,same_true
0,0.625,0.7680555555555555,0.3125,0.75,0.375,0.6152116402116402,0.5625,0.8876984126984127,0.41666666666666663,0.6314814814814815,0.5,0.8719246031746032,0.41666666666666663,0.6166666666666667,0.8125,0.9625,gen_dense_any,adj_negispos,same_false
1,0.875,0.975,0.6666666666666667,0.8333333333333333,0.125,0.7073412698412699,0.33333333333333337,0.6718537414965986,0.125,0.7073412698412699,0.33333333333333337,0.6718537414965986,0.125,0.675,0.33333333333333337,0.6642857142857141,gen_dense_any,adj_negispos,same_false
2,0.4583333333333333,0.5194444444444444,0.35714285714285715,0.5809523809523809,0.25,0.5751322751322752,0.5,0.7742346938775511,0.25,0.5751322751322752,0.45238095238095244,0.7539965986394558,0.5416666666666667,0.6718253968253969,0.6904761904761906,0.8343537414965987,gen_dense_any,adj_negispos,same_false
3,0.7142857142857144,0.875,0.4583333333333333,0.5194444444444444,0.4285714285714286,0.6956916099773243,0.29166666666666663,0.5866402116402116,0.4285714285714286,0.6956916099773243,0.29166666666666663,0.5866402116402116,0.19047619047619047,0.6071428571428572,0.4583333333333333,0.6424603174603174,gen_dense_any,adj_negispos,same_false
4,0.59375,0.8802083333333334,0.5555555555555556,0.9407407407407409,0.53125,0.839608134920635,0.7777777777777778,0.9751543209876543,0.59375,0.8512400793650794,0.7777777777777778,0.9751543209876543,0.4375,0.8125,0.4444444444444444,0.9203703703703704,gen_dense_any,adj_negispos,same_false
0,0.78,0.8133333333333332,0.78,0.8133333333333332,0.33999999999999997,0.46,0.33999999999999997,0.46,0.33999999999999997,0.46,0.33999999999999997,0.46,0.3,0.42500000000000004,0.26,0.4411904761904762,gen_dense_any,adj_negiszero,same_true
1,1.0,1.0,1.0,1.0,0.16666666666666669,0.05,0.16666666666666669,0.05,0.1111111111111111,0.05,0.1111111111111111,0.05,0.2222222222222222,0.05,0.1111111111111111,0.05,gen_dense_any,adj_negiszero,same_true
2,0.16666666666666669,0.05,0.16666666666666669,0.05,0.8333333333333334,0.625,0.8333333333333334,0.625,0.8333333333333334,0.625,0.8333333333333334,0.625,0.8333333333333334,0.625,0.8333333333333334,0.625,gen_dense_any,adj_negiszero,same_true
3,0.7380952380952381,0.7722222222222221,0.7380952380952381,0.7722222222222221,0.35714285714285715,0.36388888888888893,0.35714285714285715,0.36388888888888893,0.40476190476190477,0.3813492063492063,0.40476190476190477,0.3813492063492063,0.40476190476190477,0.375,0.35714285714285715,0.36388888888888893,gen_dense_any,adj_negiszero,same_true
4,0.52,0.6066666666666667,0.52,0.6066666666666667,0.5,0.6000000000000001,0.5,0.6000000000000001,0.5,0.6000000000000001,0.5,0.6000000000000001,0.5,0.6000000000000001,0.4800000000000001,0.5900000000000001,gen_dense_any,adj_negiszero,same_true
0,0.74,0.7849999999999999,0.42,0.5666666666666667,0.3,0.42500000000000004,0.7000000000000002,0.775,0.3,0.42500000000000004,0.7000000000000002,0.775,0.3,0.42500000000000004,0.6599999999999999,0.7450000000000001,gen_dense_any,adj_negiszero,same_false
